variance;skewness;curtosis;entropy;class
36.216;86.661;-28.073;-0.44699;0
45.459;81.674;-24.586;-14.621;0
3.866;-26.383;19.242;0.10645;0
34.566;95.228;-40.112;-35.944;0
0.32924;-44.552;45.718;-0.9888;0
43.684;96.718;-39.606;-31.625;0
35.912;30.129;0.72888;0.56421;0
20.922;-6.81;84.636;-0.60216;0
32.032;57.588;-0.75345;-0.61251;0
15.356;91.772;-22.718;-0.73535;0
12.247;87.779;-22.135;-0.80647;0
39.899;-27.066;23.946;0.86291;0
18.993;76.625;0.15394;-31.108;0
-15.768;10.843;25.462;-29.362;0
3.404;87.261;-29.915;-0.57242;0
46.765;-33.895;34.896;14.771;0
26.719;30.646;0.37158;0.58619;0
0.80355;28.473;43.439;0.6017;0
14.479;-48.794;83.428;-21.086;0
52.423;110.272;-4.353;-41.013;0
57.867;78.902;-26.196;-0.48708;0
0.3292;-44.552;45.718;-0.9888;0
39.362;101.622;-38.235;-40.172;0
0.93584;88.855;-16.831;-16.599;0
44.338;9.887;-46.795;-37.483;0
0.7057;-54.981;83.368;-28.715;0
11.432;-37.413;55.777;-0.63578;0
-0.38214;83.909;21.624;-37.405;0
65.633;98.187;-44.113;-32.258;0
48.906;-33.584;34.202;10.905;0
-0.24811;-0.17797;49.068;0.15429;0
14.884;36.274;3.308;0.48921;0
42.969;7.617;-23.874;-0.96164;0
-0.96511;94.111;17.305;-48.629;0
-16.162;0.80908;81.628;0.60817;0
24.391;64.417;-0.80743;-0.69139;0
26.881;60.195;-0.46641;-0.69268;0
36.289;0.81322;16.277;0.77627;0
45.679;31.929;-21.055;0.29653;0
34.805;97.008;-37.541;-34.379;0
41.711;8.722;-30.224;-0.59699;0
-0.2062;92.207;-37.044;-68.103;0
-0.0068919;92.931;-0.41243;-19.638;0
0.96441;58.395;23.235;0.066365;0
28.561;69.176;-0.79372;0.48403;0
-0.7869;95.663;-37.867;-75.034;0
20.843;66.258;0.48382;-22.134;0
-0.7869;95.663;-37.867;-75.034;0
39.102;6.065;-24.534;-0.68234;0
16.349;3.286;28.753;0.087054;0
43.239;-48.835;34.356;-0.5776;0
5.262;39.834;-15.572;10.103;0
31.452;5.825;-0.51439;-14.944;0
2.549;61.499;-11.605;-12.371;0
49.264;5.496;-24.774;-0.50648;0
48.265;0.80287;16.371;11.875;0
25.635;67.769;-0.61979;0.38576;0
5.807;50.097;-22.384;0.43878;0
31.377;-41.096;45.701;0.98963;0
-0.78289;113.603;-0.37644;-70.495;0
2.888;0.44696;45.907;-0.24398;0
0.49665;5.527;17.785;-0.47156;0
42.586;112.962;-40.943;-43.457;0
